EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,COMMUTING TO WORK,,,,,,,,,OCCUPATION,,,,,
ZCTA,ZCTA Numeric,Population 16 Years and Over,Population 16 years and over - In labor force,Population 16 years and over - In labor force - Civilian labor force,Employed Civilian Labor Force (%),Unemployed Civilian Labor Force (%),Armed Forces (%),Not in Labor Force (%),Civilian labor force,Civilian Labor Force Unemployment Rate,Females 16 years and over,Females 16 years and over - In labor force,Females 16 years and over - In labor force - Civilian labor force,Females 16 years and over - In labor force - Civilian labor force - Employed,Population 16 Years and Over With Children Under 6,Both Parents Working (% Of Adults with Children Under 6),Population 16 Years and Over With Children 6-17,Both Parents Working (% Of Adults with Children 6-17),ZCTA Numeric2,Average Travel Time To Work (Minutes),Workers 16 years and over,Drove Alone  (%),Carpooled  (%),Public Transportation  (%),Walked  (%),Other Means  (%),Worked From Home  (%),Civilian employed population 16 years and over,"Management, business, science, and arts occupations (%)",Service occupations (%),Sales and office occupations (%),"Natural resources, construction, and maintenance occupations (%)","Production, transportation, and material moving occupations (%)"
01238,1238,4892,61.1,60.8,59,1.9,0.3,38.9,2976,3.1,2714,56.3,56.3,54.6,160,73.8,725,86.9,1238,22.7,2898,87.8,3.2,0.4,2.2,0.1,6.3,2885,40.6,24.9,14,10.9,9.5
01240,1240,4545,50.3,50.3,45.6,4.7,0,49.7,2286,9.3,2305,42.5,42.5,42,49,0,318,95.3,1240,17.5,1926,76.8,0.2,2.2,1.5,0.9,18.5,2074,36.9,22.3,21.4,9.4,10
01242,1242,263,64.3,64.3,43,21.3,0,35.7,169,33.1,227,67.4,67.4,42.7,0,-,16,100,1242,Null,98,99,1,0,0,0,0,113,33.6,48.7,16.8,0,0.9
01243,1243,159,65.4,65.4,65.4,0,0,34.6,104,0,77,50.6,50.6,50.6,0,-,4,100,1243,32.6,104,66.3,0,0,1,0,32.7,104,49,5.8,9.6,11.5,24
01244,1244,164,39,39,39,0,0,61,64,0,81,53.1,53.1,53.1,0,-,0,-,1244,33.1,64,75,0,0,0,0,25,64,40.6,0,14.1,26.6,18.8
01245,1245,690,51.2,51.2,47.5,3.6,0,48.8,353,7.1,353,38.5,38.5,31.4,9,100,66,56.1,1245,22,323,82.4,0,1.2,0.9,8,7.4,328,67.7,9.5,6.4,10.1,6.4
01247,1247,13065,60.1,60.1,57.2,2.9,0,39.9,7851,4.8,6561,57.2,57.2,54.1,712,71.9,1755,75.3,1247,19.3,7193,75.2,8,0.9,9.3,0.3,6.3,7475,39.2,20.9,18,10.1,11.8
01253,1253,789,67.2,67.2,59.9,7.2,0,32.8,530,10.8,446,64.8,64.8,56.1,31,100,51,94.1,1253,32.5,462,80.3,5.4,0,0,0,14.3,473,31.9,10.6,30.9,14.8,11.8
01254,1254,899,59.4,59.4,58.4,1,0,40.6,534,1.7,510,59.8,59.8,59.8,44,59.1,65,92.3,1254,20.6,518,79.5,11.4,0,0,0,9.1,525,66.9,12.8,12.6,1.9,5.9
01255,1255,742,57.7,57.7,56.7,0.9,0,42.3,428,1.6,365,55.9,55.9,55.3,53,84.9,69,94.2,1255,37,421,72.4,6.4,0,0.7,0,20.4,421,28.5,30.4,14.5,17.3,9.3
01256,1256,570,61.4,60.2,57.5,2.6,1.2,38.6,343,4.4,274,56.6,54,51.8,20,100,116,57.8,1256,36.3,325,91.1,4.6,0,2.2,0.9,1.2,328,37.2,12.8,21,15.9,13.1
