UNITS IN STRUCTURE,,,,,,,,,,YEAR BUILT,,,,,,,,,,,BEDROOMS,,,,,,
Total housing units2,"1-unit, detached (%)","1-unit, attached (%)",2 units (%),3 or 4 units (%),5 to 9 units (%),10 to 19 units (%),20 or more units (%),Mobile home (%),"Boat, RV, van, etc. (%)",Total housing units3,Built 2020 or later (%),Built 2010 to 2019 (%),Built 2000 to 2009 (%),Built 1990 to 1999 (%),Built 1980 to 1989 (%),Built 1970 to 1979 (%),Built 1960 to 1969 (%),Built 1950 to 1959 (%),Built 1940 to 1949 (%),Built 1939 or earlier (%),Total housing units4,No bedroom (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 bedrooms (%),5 or more bedrooms (%)
5488,83.5,9.3,0,0.3,0.5,1.2,4.7,0.6,0,5488,0,1,12.8,24.9,24,20.5,10.4,3.3,1.6,1.4,5488,0.3,6.1,21.5,54.4,13.3,4.5
7293,66.5,13.3,1.5,3.8,10.4,0.8,3.2,0.4,0,7293,0,1,16.8,18.5,16.2,25.5,10.5,7,2.6,1.9,7293,1.2,8.1,17.9,60.5,10.9,1.5
21347,71.6,3.8,16.1,3.4,2.5,1.6,0.7,0.2,0,21347,0,0.8,13.7,16.9,17.1,25.1,15.2,5.9,2.7,2.8,21347,1.4,5,19.2,61.2,11.5,1.7
17466,63.2,16,1.4,2.3,6.7,2.3,8,0.1,0,17466,0,0.3,12.9,17.4,13.2,27,19.2,7.6,0.6,1.8,17466,2.7,8.9,16.5,58,12.4,1.5
14169,75.6,7.7,12.7,2,1.7,0.1,0,0.1,0,14169,0,1,19.9,21.2,16.4,23,8.2,5.9,2.7,1.7,14169,0.7,1.4,21,64.2,11.1,1.6
949,75.3,11.2,2.1,2.7,7.2,1.5,0,0,0,949,0,0,4.1,16.1,17.6,35.3,16.5,7.6,1.4,1.4,949,3.1,5,29.2,51,9.7,2.1
2008,86.2,8.8,0,4.5,0,0,0,0.5,0,2008,0,0,4.8,4.4,18.2,58.6,5,7.2,1.7,0,2008,1.4,0.4,8.6,82.2,5.4,1.9
22945,71.6,14.6,0.5,2.4,4.6,2.7,3.2,0.3,0,22945,0,0.6,17.4,19.2,21.5,23.7,8.9,5.8,1.6,1.3,22945,1.7,6.3,19.1,58.3,13.2,1.3
9848,81.4,11.8,0.5,0.2,3.1,2.1,0.4,0.5,0,9848,0,2.1,18.3,14.9,19.8,17.7,13.3,6.5,4.6,2.8,9848,0.3,4.9,20.2,60.7,12.1,1.8
15612,81.3,13.3,1.4,2.2,1.4,0.3,0,0,0,15612,0,2.1,19.6,17.9,19.4,19.1,12.7,6.6,0.7,1.8,15612,0.3,2.7,21,64.6,9.8,1.6
9045,89.1,7.8,0.1,0.2,1.5,0.4,0.4,0.4,0,9045,0,1.7,23,16.3,15.1,21,11.6,7.2,2.1,2,9045,0.2,3.4,16.1,62,17,1.2
4967,81.8,12.4,0.3,2.8,1,1.3,0,0.3,0,4967,0,5.2,4.6,13.5,24.4,26.6,8.3,5.8,6.3,5.2,4967,2,11.7,27.4,47.6,10,1.2
9523,80.1,14.6,0,0.8,1.2,1.7,1.4,0.3,0,9523,0,2,13.9,25.8,16.5,23,9.5,4.6,2.2,2.3,9523,0.6,4.1,21.3,53.4,16.6,4
