RACE,,,,,,,,,HISPANIC/LATINO,,,HOUSING OCCUPANCY,,,,
Total population3,One race (%),White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Some other race (%),Two or more races (%),Total population4,Hispanic or Latino (%),Not Hispanic or Latino (%),Total housing units,Occupied housing units,Vacant housing units,Homeowner vacancy rate (%),Rental vacancy rate (%)
38480,82.9,72.8,4,0.3,1,0,4.8,17.1,38480,53.3,46.7,16731,15062,1669,2.4,4.5
2593,95.6,93.8,1.1,0.2,0,0,0.6,4.4,2593,2.7,97.3,1235,1072,163,0.9,0
2016,99.9,89.7,8.6,0,0.1,0,1.4,0.1,2016,1.7,98.3,748,712,36,0,0
1794,97.3,92.1,0.5,0,4,0,0.7,2.7,1794,1.3,98.7,776,708,68,0.5,0
21050,94.5,89.2,2,0,1.1,0,2.3,5.5,21050,9.7,90.3,9000,8567,433,0.7,2.6
8288,98.7,95.4,0.7,0,1.6,0,1,1.3,8288,2.9,97.1,3726,3485,241,1.3,3.8
14975,94.8,85.8,1.8,0.2,2.8,0,4.1,5.2,14975,7.8,92.2,7493,7060,433,2,6.6
9835,95.5,89.9,2,0.2,1.4,0,2,4.5,9835,7.9,92.1,4474,4162,312,1.1,2.9
2532,93.5,68.8,5.3,0,18.7,0,0.6,6.5,2532,7.5,92.5,23,5,18,-,78.3
51,100,100,0,0,0,0,0,0,51,0,100,64,34,30,0,0
1621,96.5,94.9,1.2,0,0,0,0.4,3.5,1621,1.3,98.7,667,625,42,0,0
8870,93.1,86,3.6,0,2,0,1.6,6.9,8870,8.5,91.5,3916,3732,184,0,2.1
621,91.3,89.5,0.2,0.2,1.4,0,0,8.7,621,1.8,98.2,342,258,84,0,0
1280,95.5,92,2.8,0,0.2,0,0.5,4.5,1280,6.3,93.8,598,518,80,0,20.9
1374,92.5,89.8,0.9,0,0.8,0,1,7.5,1374,8.2,91.8,731,609,122,0,0
6158,93.3,89.2,0.8,0,3.2,0,0.1,6.7,6158,2.3,97.7,2356,2318,38,0,14
584,95.2,95.2,0,0,0,0,0,4.8,584,4.8,95.2,250,157,93,0,0
18051,96.1,88.6,1.6,0.1,5.2,0,0.7,3.9,18051,5.9,94.1,7641,7328,313,0.4,4.8
9292,97.2,95.1,0,0.3,0.8,0,1,2.8,9292,4.6,95.4,3938,3648,290,2.4,4.3
521,100,92.5,0,0,0,0,7.5,0,521,10.2,89.8,237,237,0,0,0
2276,93,83.1,0.6,0,1.6,0,7.7,7,2276,8.5,91.5,938,895,43,0,0
1748,96.6,95.5,0.5,0.2,0,0.2,0.2,3.4,1748,4.3,95.7,864,708,156,1.6,9.8
10441,97.6,94.4,1.5,0,0,0,1.6,2.4,10441,6.9,93.1,5226,4689,537,2.4,5.9
2701,95.6,93.4,0.9,0,1.3,0,0,4.4,2701,5.3,94.7,1010,934,76,0,13.5
101,100,85.1,0,0,0,0,14.9,0,101,14.9,85.1,86,44,42,0,0
41715,96.6,87.6,1.7,0,4,0.1,3.1,3.4,41715,9.3,90.7,16444,15608,836,1,2.4
663,100,95.5,0,0,4.5,0,0,0,663,1.4,98.6,354,345,9,0,0
28814,94.1,80.9,3.8,0.2,5,0,4.2,5.9,28814,13,87,13084,12734,350,0,0
1248,100,97.5,2.5,0,0,0,0,0,1248,5,95,621,532,89,0,7.9
157,100,100,0,0,0,0,0,0,157,0,100,70,70,0,0,0
70,100,100,0,0,0,0,0,0,70,0,100,31,31,0,0,-
14737,97.3,92.7,3.1,0,0.7,0,0.8,2.7,14737,6.8,93.2,5672,5417,255,1.4,9.2
2413,99.2,98.6,0,0.6,0,0,0,0.8,2413,2.2,97.8,1190,1058,132,0.4,8
64,100,100,0,0,0,0,0,0,64,0,100,26,26,0,0,0
1042,99.2,98.7,0,0,0,0,0.6,0.8,1042,0.2,99.8,649,510,139,2.3,18.2
2168,91.8,47.4,23.6,1.6,1.9,0,17.3,8.2,2168,47.4,52.6,1640,1434,206,0,8.9
23226,78.7,54,13.6,0.5,0.5,0,10.1,21.3,23226,62.2,37.8,9834,9208,626,2,2.6
12527,77.6,41.9,16.7,0,0.2,0,18.8,22.4,12527,77.7,22.3,5728,5206,522,10.7,5.1
16150,96.5,88.2,1.5,0,6.3,0,0.5,3.5,16150,5.5,94.5,6247,6015,232,0.5,7.2
12387,87.1,51.8,12.7,0.2,1.3,0,21.1,12.9,12387,79.9,20.1,4708,4234,474,3.1,4.6
26257,88.8,51.7,20.2,0.4,6.7,0,9.7,11.2,26257,41.1,58.9,11274,10213,1061,1.4,5
31242,90.1,42.7,35.4,1,1.7,0,9.3,9.9,31242,42.6,57.4,10705,9506,1199,0.3,2.2
15073,90.9,65.7,17.3,0,4.7,0,3.3,9.1,15073,26.1,73.9,5922,5785,137,0,0
