HOUSE VALUE,,,,,,,,,MORTGAGE STATUS,,,DETAILED CRIME,,,,,,,,,
Owner-occupied units,"Less than $50,000 (%)","$50,000 to $99,999 (%)","$100,000 to $149,999 (%)2","$150,000 to $199,999 (%)3","$200,000 to $299,999 (%)","$300,000 to $499,999 (%)","$500,000 to $999,999 (%)","$1,000,000 or more (%)",Owner-occupied units2,Housing units with a mortgage (%),Housing units without a mortgage (%),Violent_Crime_Index,Assault_Index,Murder_Index,Rape_Index,Robbery_Index,Property_Crime_Index,Burglary_Index,Larceny_Index,Motor_Vehicle_Theft_Index,Property_Damage_Index
9877,13.5,40.7,25.1,13.8,5.7,1,0.2,0.1,9877,32,68,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9203,5.8,32.6,32,20.3,7.9,1.3,0.1,0,9203,39.9,60.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4093,12.9,48.1,21.3,13.1,4.1,0.5,0,0,4093,20.1,79.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4743,5.1,34.5,35.9,14.2,6.3,3.8,0.3,0,4743,41.3,58.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
312,3.8,25,14.1,12.5,19.9,13.1,8.7,2.9,312,12.8,87.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9654,6.3,40.4,35.8,10.7,5.4,0.7,0.4,0.2,9654,49.1,50.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10954,3.8,23.8,25,17.2,17.9,10.4,1,0.9,10954,51.2,48.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3923,14.6,39.1,24.4,10.1,6.4,4.1,0.5,0.8,3923,51.6,48.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2464,8.2,32.3,43.6,13.3,0.6,1.5,0.4,0,2464,30.9,69.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7692,8.6,41.9,31.4,13.7,2,1.3,0,1.2,7692,31.6,68.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9654,15.7,47.8,20.6,7.6,6.1,1.1,0,1.2,9654,32.1,67.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
81,77.8,0,0,0,22.2,0,0,0,81,0,100,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
11814,6.5,38.7,32.1,11,6.2,4,0.6,0.9,11814,33,67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5677,10.7,33.4,26.1,23.3,5.2,1.1,0,0.3,5677,35.7,64.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10817,13,44.4,29.1,7.9,4.6,0.8,0,0.2,10817,32.6,67.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1351,1.6,9.4,1.4,6,21.1,29.2,20.7,10.5,1351,53.2,46.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
91,0,0,0,0,0,84.6,15.4,0,91,75.8,24.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5150,3.7,16.7,9.7,9.6,18,19.5,15,7.8,5150,46.1,53.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
969,11.5,17.9,28.9,20,11.1,6.3,1.1,3.2,969,42.4,57.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1811,0.9,7.4,13,11.1,16.2,19.4,25.3,6.6,1811,56.3,43.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1526,1.4,21.2,38.3,18.2,10.9,7.1,0.4,2.4,1526,54.1,45.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
532,1.5,3.4,4.7,5.8,12.8,35.2,23.7,13,532,45.7,54.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4458,21.9,35.3,19.6,18.2,3.8,0.4,0.5,0.2,4458,28.5,71.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3996,11.5,32.6,22.2,16.8,13.6,2,0.3,0.9,3996,38.7,61.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3601,3.9,6.4,27.3,25.7,23.2,11.7,0.5,1.2,3601,57.5,42.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3796,1.8,22,35.2,27.5,10.6,2,0,0.9,3796,54.3,45.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6643,1.1,23.9,43.3,16.1,11.2,3.6,0.6,0.2,6643,57.2,42.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4594,11.3,29.8,38.2,12.1,6.4,1,0.2,0.8,4594,42.1,57.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10031,4.3,23.9,38.8,20.9,8.9,2.6,0.3,0.3,10031,49.4,50.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
727,0,16.1,40.9,21.3,10,4.3,7.4,0,727,52.1,47.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
26242,2.9,13.1,22.9,25.8,18.3,10.6,5.8,0.6,26242,49.6,50.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3241,1.6,2.2,24.4,25.5,15.7,13.5,12.4,4.6,3241,44.5,55.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0,-,-,-,-,-,-,-,-,0,-,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
19452,6.7,23.6,43.8,18.2,6.1,1.2,0,0.4,19452,45.6,54.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0,-,-,-,-,-,-,-,-,0,-,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
64,17.2,65.6,7.8,9.4,0,0,0,0,64,56.3,43.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1861,9.4,44.5,27.6,11.8,2.6,0,0,4,1861,24.1,75.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
